name,type,hp,attack,defense,speed,image_url
arbok,poison,60,95,69,80,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/024.png
pikachu,electric,35,55,40,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/025.png
raichu,electric,60,90,55,110,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/026.png
sandshrew,ground,50,75,85,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/027.png
sandslash,ground,75,100,110,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/028.png
nidoran-f,poison,55,47,52,41,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/029.png
nidorina,poison,70,62,67,56,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/030.png
nidoqueen,"poison, ground",90,92,87,76,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/031.png
nidoran-m,poison,46,57,40,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/032.png
nidorino,poison,61,72,57,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/033.png
nidoking,"poison, ground",81,102,77,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/034.png
clefairy,fairy,70,45,48,35,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/035.png
clefable,fairy,95,70,73,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/036.png
vulpix,fire,38,41,40,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/037.png
ninetales,fire,73,76,75,100,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/038.png
jigglypuff,"normal, fairy",115,45,20,20,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/039.png
wigglytuff,"normal, fairy",140,70,45,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/040.png
zubat,"poison, flying",40,45,35,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/041.png
golbat,"poison, flying",75,80,70,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/042.png
oddish,"grass, poison",45,50,55,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/043.png
gloom,"grass, poison",60,65,70,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/044.png
vileplume,"grass, poison",75,80,85,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/045.png
paras,"bug, grass",35,70,55,25,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/046.png
parasect,"bug, grass",60,95,80,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/047.png
venonat,"bug, poison",60,55,50,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/048.png
venomoth,"bug, poison",70,65,60,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/049.png
diglett,ground,10,55,25,95,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/050.png
dugtrio,ground,35,100,50,120,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/051.png
meowth,normal,40,45,35,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/052.png
persian,normal,65,70,60,115,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/053.png
psyduck,water,50,52,48,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/054.png
golduck,water,80,82,78,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/055.png
mankey,fighting,40,80,35,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/056.png
primeape,fighting,65,105,60,95,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/057.png
growlithe,fire,55,70,45,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/058.png
arcanine,fire,90,110,80,95,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/059.png
poliwag,water,40,50,40,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/060.png
poliwhirl,water,65,65,65,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/061.png
poliwrath,"water, fighting",90,95,95,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/062.png
abra,psychic,25,20,15,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/063.png
kadabra,psychic,40,35,30,105,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/064.png
alakazam,psychic,55,50,45,120,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/065.png
machop,fighting,70,80,50,35,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/066.png
machoke,fighting,80,100,70,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/067.png
machamp,fighting,90,130,80,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/068.png
bellsprout,"grass, poison",50,75,35,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/069.png
weepinbell,"grass, poison",65,90,50,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/070.png
victreebel,"grass, poison",80,105,65,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/071.png
tentacool,"water, poison",40,40,35,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/072.png
tentacruel,"water, poison",80,70,65,100,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/073.png
geodude,"rock, ground",40,80,100,20,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/074.png
graveler,"rock, ground",55,95,115,35,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/075.png
golem,"rock, ground",80,120,130,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/076.png
ponyta,fire,50,85,55,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/077.png
rapidash,fire,65,100,70,105,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/078.png
slowpoke,"water, psychic",90,65,65,15,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/079.png
slowbro,"water, psychic",95,75,110,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/080.png
magnemite,"electric, steel",25,35,70,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/081.png
magneton,"electric, steel",50,60,95,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/082.png
farfetchd,"normal, flying",52,90,55,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/083.png
doduo,"normal, flying",35,85,45,75,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/084.png
dodrio,"normal, flying",60,110,70,110,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/085.png
seel,water,65,45,55,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/086.png
dewgong,"water, ice",90,70,80,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/087.png
grimer,poison,80,80,50,25,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/088.png
muk,poison,105,105,75,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/089.png
shellder,water,30,65,100,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/090.png
cloyster,"water, ice",50,95,180,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/091.png
gastly,"ghost, poison",30,35,30,80,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/092.png
haunter,"ghost, poison",45,50,45,95,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/093.png
gengar,"ghost, poison",60,65,60,110,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/094.png
onix,"rock, ground",35,45,160,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/095.png
drowzee,psychic,60,48,45,42,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/096.png
hypno,psychic,85,73,70,67,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/097.png
krabby,water,30,105,90,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/098.png
kingler,water,55,130,115,75,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/099.png
voltorb,electric,40,30,50,100,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/100.png
electrode,electric,60,50,70,150,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/101.png
exeggcute,"grass, psychic",60,40,80,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/102.png
exeggutor,"grass, psychic",95,95,85,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/103.png
cubone,ground,50,50,95,35,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/104.png
marowak,ground,60,80,110,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/105.png
hitmonlee,fighting,50,120,53,87,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/106.png
hitmonchan,fighting,50,105,79,76,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/107.png
lickitung,normal,90,55,75,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/108.png
koffing,poison,40,65,95,35,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/109.png
weezing,poison,65,90,120,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/110.png
rhyhorn,"ground, rock",80,85,95,25,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/111.png
rhydon,"ground, rock",105,130,120,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/112.png
chansey,normal,250,5,5,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/113.png
tangela,grass,65,55,115,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/114.png
kangaskhan,normal,105,95,80,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/115.png
horsea,water,30,40,70,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/116.png
seadra,water,55,65,95,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/117.png
goldeen,water,45,67,60,63,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/118.png
seaking,water,80,92,65,68,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/119.png
staryu,water,30,45,55,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/120.png
starmie,"water, psychic",60,75,85,115,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/121.png
mr-mime,"psychic, fairy",40,45,65,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/122.png
scyther,"bug, flying",70,110,80,105,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/123.png
jynx,"ice, psychic",65,50,35,95,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/124.png
electabuzz,electric,65,83,57,105,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/125.png
magmar,fire,65,95,57,93,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/126.png
pinsir,bug,65,125,100,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/127.png
tauros,normal,75,100,95,110,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/128.png
magikarp,water,20,10,55,80,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/129.png
gyarados,"water, flying",95,125,79,81,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/130.png
lapras,"water, ice",130,85,80,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/131.png
ditto,normal,48,48,48,48,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/132.png
eevee,normal,55,55,50,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/133.png
vaporeon,water,130,65,60,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/134.png
jolteon,electric,65,65,60,130,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/135.png
flareon,fire,65,130,60,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/136.png
porygon,normal,65,60,70,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/137.png
omanyte,"rock, water",35,40,100,35,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/138.png
omastar,"rock, water",70,60,125,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/139.png
kabuto,"rock, water",30,80,90,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/140.png
kabutops,"rock, water",60,115,105,80,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/141.png
aerodactyl,"rock, flying",80,105,65,130,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/142.png
snorlax,normal,160,110,65,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/143.png
articuno,"ice, flying",90,85,100,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/144.png
zapdos,"electric, flying",90,90,85,100,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/145.png
moltres,"fire, flying",90,100,90,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/146.png
dratini,dragon,41,64,45,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/147.png
dragonair,dragon,61,84,65,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/148.png
dragonite,"dragon, flying",91,134,95,80,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/149.png
mewtwo,psychic,106,110,90,130,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/150.png
mew,psychic,100,100,100,100,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/151.png
chikorita,grass,45,49,65,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/152.png
bayleef,grass,60,62,80,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/153.png
meganium,grass,80,82,100,80,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/154.png
cyndaquil,fire,39,52,43,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/155.png
quilava,fire,58,64,58,80,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/156.png
typhlosion,fire,78,84,78,100,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/157.png
totodile,water,50,65,64,43,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/158.png
croconaw,water,65,80,80,58,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/159.png
feraligatr,water,85,105,100,78,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/160.png
sentret,normal,35,46,34,20,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/161.png
furret,normal,85,76,64,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/162.png
hoothoot,"normal, flying",60,30,30,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/163.png
noctowl,"normal, flying",100,50,50,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/164.png
ledyba,"bug, flying",40,20,30,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/165.png
ledian,"bug, flying",55,35,50,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/166.png
spinarak,"bug, poison",40,60,40,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/167.png
ariados,"bug, poison",70,90,70,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/168.png
crobat,"poison, flying",85,90,80,130,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/169.png
chinchou,"water, electric",75,38,38,67,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/170.png
lanturn,"water, electric",125,58,58,67,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/171.png
pichu,electric,20,40,15,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/172.png
cleffa,fairy,50,25,28,15,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/173.png
igglybuff,"normal, fairy",90,30,15,15,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/174.png
togepi,fairy,35,20,65,20,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/175.png
togetic,"fairy, flying",55,40,85,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/176.png
natu,"psychic, flying",40,50,45,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/177.png
xatu,"psychic, flying",65,75,70,95,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/178.png
mareep,electric,55,40,40,35,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/179.png
flaaffy,electric,70,55,55,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/180.png
ampharos,electric,90,75,85,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/181.png
bellossom,grass,75,80,95,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/182.png
marill,"water, fairy",70,20,50,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/183.png
azumarill,"water, fairy",100,50,80,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/184.png
sudowoodo,rock,70,100,115,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/185.png
politoed,water,90,75,75,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/186.png
hoppip,"grass, flying",35,35,40,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/187.png
skiploom,"grass, flying",55,45,50,80,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/188.png
jumpluff,"grass, flying",75,55,70,110,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/189.png
aipom,normal,55,70,55,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/190.png
sunkern,grass,30,30,30,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/191.png
sunflora,grass,75,75,55,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/192.png
yanma,"bug, flying",65,65,45,95,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/193.png
wooper,"water, ground",55,45,45,15,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/194.png
quagsire,"water, ground",95,85,85,35,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/195.png
espeon,psychic,65,65,60,110,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/196.png
umbreon,dark,95,65,110,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/197.png
murkrow,"dark, flying",60,85,42,91,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/198.png
slowking,"water, psychic",95,75,80,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/199.png
misdreavus,ghost,60,60,60,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/200.png
unown,psychic,48,72,48,48,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/201.png
wobbuffet,psychic,190,33,58,33,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/202.png
girafarig,"normal, psychic",70,80,65,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/203.png
pineco,bug,50,65,90,15,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/204.png
forretress,"bug, steel",75,90,140,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/205.png
dunsparce,normal,100,70,70,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/206.png
gligar,"ground, flying",65,75,105,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/207.png
steelix,"steel, ground",75,85,200,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/208.png
snubbull,fairy,60,80,50,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/209.png
granbull,fairy,90,120,75,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/210.png
qwilfish,"water, poison",65,95,85,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/211.png
scizor,"bug, steel",70,130,100,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/212.png
shuckle,"bug, rock",20,10,230,5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/213.png
heracross,"bug, fighting",80,125,75,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/214.png
sneasel,"dark, ice",55,95,55,115,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/215.png
teddiursa,normal,60,80,50,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/216.png
ursaring,normal,90,130,75,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/217.png
slugma,fire,40,40,40,20,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/218.png
magcargo,"fire, rock",60,50,120,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/219.png
swinub,"ice, ground",50,50,40,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/220.png
piloswine,"ice, ground",100,100,80,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/221.png
corsola,"water, rock",65,55,95,35,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/222.png
remoraid,water,35,65,35,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/223.png
octillery,water,75,105,75,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/224.png
delibird,"ice, flying",45,55,45,75,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/225.png
mantine,"water, flying",85,40,70,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/226.png
skarmory,"steel, flying",65,80,140,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/227.png
houndour,"dark, fire",45,60,30,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/228.png
houndoom,"dark, fire",75,90,50,95,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/229.png
kingdra,"water, dragon",75,95,95,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/230.png
phanpy,ground,90,60,60,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/231.png
donphan,ground,90,120,120,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/232.png
porygon2,normal,85,80,90,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/233.png
stantler,normal,73,95,62,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/234.png
smeargle,normal,55,20,35,75,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/235.png
tyrogue,fighting,35,35,35,35,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/236.png
hitmontop,fighting,50,95,95,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/237.png
smoochum,"ice, psychic",45,30,15,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/238.png
elekid,electric,45,63,37,95,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/239.png
magby,fire,45,75,37,83,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/240.png
miltank,normal,95,80,105,100,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/241.png
blissey,normal,255,10,10,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/242.png
raikou,electric,90,85,75,115,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/243.png
entei,fire,115,115,85,100,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/244.png
suicune,water,100,75,115,85,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/245.png
larvitar,"rock, ground",50,64,50,41,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/246.png
pupitar,"rock, ground",70,84,70,51,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/247.png
tyranitar,"rock, dark",100,134,110,61,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/248.png
lugia,"psychic, flying",106,90,130,110,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/249.png
ho-oh,"fire, flying",106,130,90,90,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/250.png
celebi,"psychic, grass",100,100,100,100,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/251.png
treecko,grass,40,45,35,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/252.png
grovyle,grass,50,65,45,95,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/253.png
sceptile,grass,70,85,65,120,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/254.png
torchic,fire,45,60,40,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/255.png
combusken,"fire, fighting",60,85,60,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/256.png
blaziken,"fire, fighting",80,120,70,80,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/257.png
mudkip,water,50,70,50,40,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/258.png
marshtomp,"water, ground",70,85,70,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/259.png
swampert,"water, ground",100,110,90,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/260.png
poochyena,dark,35,55,35,35,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/261.png
mightyena,dark,70,90,70,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/262.png
zigzagoon,normal,38,30,41,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/263.png
linoone,normal,78,70,61,100,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/264.png
wurmple,bug,45,45,35,20,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/265.png
silcoon,bug,50,35,55,15,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/266.png
beautifly,"bug, flying",60,70,50,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/267.png
cascoon,bug,50,35,55,15,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/268.png
dustox,"bug, poison",60,50,70,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/269.png
lotad,"water, grass",40,30,30,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/270.png
lombre,"water, grass",60,50,50,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/271.png
ludicolo,"water, grass",80,70,70,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/272.png
seedot,grass,40,40,50,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/273.png
nuzleaf,"grass, dark",70,70,40,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/274.png
shiftry,"grass, dark",90,100,60,80,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/275.png
